Datetime,Hour,DayOfWeek,DayOfMonth,Month,temperature(degC),point_de_rosee(degC),humidite(%),precipitations(mm),neige(mm),vent_direction(deg),vent_moyen(km/h),rafale_vent_max(km/h),pression(hPa),ensoleillement(h),2R-P01,VL-P01,PL-P01,2R-P10,VL-P10,PL-P10,2R-P12,VL-P12,PL-P12,2R-P13,VL-P13,PL-P13,2R-P14,VL-P14,PL-P14,2R-P17,VL-P17,PL-P17,2R-P18,VL-P18,PL-P18,2R-P19,VL-P19,PL-P19,2R-P02,VL-P02,PL-P02,2R-P20,VL-P20,PL-P20,2R-P21,VL-P21,PL-P21,2R-P23,VL-P23,PL-P23,2R-P24,VL-P24,PL-P24,2R-P25,VL-P25,PL-P25,2R-P26,VL-P26,PL-P26,2R-P03,VL-P03,PL-P03,2R-P04,VL-P04,PL-P04,2R-P05,VL-P05,PL-P05,2R-P06,VL-P06,PL-P06,2R-P08,VL-P08,PL-P08,2R-P09,VL-P09,PL-P09
2022-10-03 00:00:00,0,0,3,10,13.5,12.6,94.0,0.0,0.0,0.0,0.0,4.0,1026.1,,2,20,2,0,0,0,1,0,0,2,8,0,0,0,0,0,42,0,0,6,0,0,4,0,2,8,4,0,0,0,0,2,0,1,5,0,0,5,0,0,2,0,2,10,3,2,36,1,2,38,2,1,10,0,2,42,2,0,0,0,0,16,0
2022-10-03 01:00:00,1,0,3,10,13.5,12.7,95.0,0.0,0.0,0.0,0.0,20.4,1026.0,,1,10,0,0,0,0,1,0,0,0,6,0,0,0,0,1,23,0,0,4,0,0,2,0,0,4,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,1,6,0,2,9,1,2,24,0,0,4,0,2,24,2,0,0,0,1,4,0
2022-10-03 02:00:00,2,0,3,10,13.2,12.6,96.0,0.0,0.0,0.0,0.0,18.5,1025.8,,0,9,1,0,0,0,1,0,0,0,2,0,0,0,0,0,12,1,0,2,0,0,2,0,1,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,5,0,0,8,0,0,14,2,0,1,0,0,14,1,0,0,0,1,4,0
2022-10-03 03:00:00,3,0,3,10,12.6,12.0,96.0,0.0,0.0,0.0,0.0,8.0,1025.5,,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,0,0,9,1,0,10,0,1,2,0,1,8,0,0,0,0,1,6,0
2022-10-03 04:00:00,4,0,3,10,11.5,10.6,94.0,0.2,0.0,0.0,0.0,11.1,1025.4,,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,19,4,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,7,0,2,18,1,2,18,2,0,2,0,3,17,2,0,4,0,1,1,1
2022-10-03 05:00:00,5,0,3,10,11.2,10.6,96.0,0.0,0.0,0.0,0.0,13.0,1025.1,,2,22,11,0,0,0,2,3,0,0,2,0,0,2,0,1,44,4,0,8,0,0,1,0,2,3,2,0,0,0,1,2,0,1,9,0,0,2,0,0,1,0,1,16,3,2,58,4,2,53,5,0,3,0,7,46,8,1,10,0,0,6,0
2022-10-03 06:00:00,6,0,3,10,12.6,12.4,99.0,0.0,0.0,30.0,5.4,11.0,1024.9,,6,126,32,0,0,2,1,3,1,2,15,2,0,1,2,4,113,12,4,24,8,2,2,2,2,19,8,0,4,0,0,0,0,1,16,2,0,18,0,0,2,2,4,53,5,2,209,5,12,244,28,2,13,0,11,210,42,2,12,2,4,26,3
2022-10-03 07:00:00,7,0,3,10,13.2,13.0,99.0,0.0,0.0,0.0,0.0,14.8,1025.1,,28,321,54,1,5,5,80,37,3,21,140,6,12,30,7,6,342,14,21,114,21,8,97,2,25,98,6,4,41,0,6,6,0,0,64,4,2,126,0,4,28,2,12,355,10,18,349,4,78,586,22,7,87,1,48,438,74,30,147,4,16,186,2
2022-10-03 08:00:00,8,0,3,10,16.4,14.1,86.0,0.0,0.0,90.0,9.4,16.7,1025.1,,38,346,52,26,50,13,149,78,5,31,148,14,17,72,5,18,360,6,49,193,12,3,126,1,17,126,12,8,43,2,8,5,2,1,115,3,4,159,0,20,104,8,18,444,10,12,345,3,54,687,35,9,93,4,66,646,100,44,168,12,38,294,4
2022-10-03 09:00:00,9,0,3,10,18.9,14.0,73.0,0.0,0.0,90.0,9.4,18.0,1025.0,,22,334,50,12,46,10,137,74,6,26,116,11,12,40,9,8,321,12,26,85,12,13,152,1,13,112,10,14,61,5,3,5,2,4,77,7,0,192,2,10,86,10,12,286,11,9,423,11,30,632,26,4,82,2,27,604,108,30,192,10,15,208,5
2022-10-03 10:00:00,10,0,3,10,20.6,13.1,62.0,0.0,0.0,90.0,11.2,22.2,1024.7,,10,217,34,4,15,2,56,23,4,8,48,8,3,18,7,14,297,5,9,66,18,2,34,2,1,8,3,2,22,4,4,4,2,2,81,3,0,63,0,4,21,4,8,168,10,3,334,3,22,490,24,2,60,3,18,420,87,12,81,16,8,100,3
