Datetime,Hour,DayOfWeek,DayOfMonth,Month,temperature(degC),point_de_rosee(degC),humidite(%),precipitations(mm),neige(mm),vent_direction(deg),vent_moyen(km/h),rafale_vent_max(km/h),pression(hPa),ensoleillement(h),2R-P01,VL-P01,PL-P01,2R-P10,VL-P10,PL-P10,2R-P12,VL-P12,PL-P12,2R-P13,VL-P13,PL-P13,2R-P14,VL-P14,PL-P14,2R-P17,VL-P17,PL-P17,2R-P18,VL-P18,PL-P18,2R-P19,VL-P19,PL-P19,2R-P02,VL-P02,PL-P02,2R-P20,VL-P20,PL-P20,2R-P21,VL-P21,PL-P21,2R-P23,VL-P23,PL-P23,2R-P24,VL-P24,PL-P24,2R-P25,VL-P25,PL-P25,2R-P26,VL-P26,PL-P26,2R-P03,VL-P03,PL-P03,2R-P04,VL-P04,PL-P04,2R-P05,VL-P05,PL-P05,2R-P06,VL-P06,PL-P06,2R-P08,VL-P08,PL-P08,2R-P09,VL-P09,PL-P09
2022-10-03 00:00:00,0,0,3,10,13.5,12.6,94.0,0.0,0.0,0.0,0.0,4.0,1026.1,,2,20,4,0,0,0,0,1,0,1,7,0,0,0,0,0,44,4,1,2,0,0,3,0,2,5,2,0,0,0,0,9,0,2,4,2,0,9,0,0,4,2,0,10,0,2,44,0,0,32,2,0,8,0,2,23,4,0,0,0,1,6,0
2022-10-03 01:00:00,1,0,3,10,13.5,12.7,95.0,0.0,0.0,0.0,0.0,20.4,1026.0,,0,8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,10,1,1,1,0,1,2,0,0,4,0,0,0,0,0,4,0,0,4,0,1,2,0,0,0,0,0,10,0,2,25,0,0,18,0,0,6,0,0,16,2,0,0,0,0,3,0
2022-10-03 02:00:00,2,0,3,10,13.2,12.6,96.0,0.0,0.0,0.0,0.0,18.5,1025.8,,0,8,0,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,3,0,0,18,0,0,12,0,0,2,0,0,8,0,0,0,1,0,4,0
2022-10-03 03:00:00,3,0,3,10,12.6,12.0,96.0,0.0,0.0,0.0,0.0,8.0,1025.5,,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,4,0,0,2,0,0,0,0,0,4,0,0,7,0,0,7,2,0,1,0,0,6,0,0,0,0,0,2,0
2022-10-03 04:00:00,4,0,3,10,11.5,10.6,94.0,0.2,0.0,0.0,0.0,11.1,1025.4,,0,10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,31,2,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,1,0,1,0,0,0,0,0,4,0,2,24,2,0,10,3,0,4,0,0,10,2,0,0,0,0,0,0
2022-10-03 05:00:00,5,0,3,10,11.2,10.6,96.0,0.0,0.0,0.0,0.0,13.0,1025.1,,0,16,4,0,0,0,0,2,1,0,5,0,0,0,0,0,63,5,0,0,0,0,4,0,0,4,2,0,0,0,1,2,3,0,6,2,0,2,0,0,0,1,0,6,0,2,46,2,0,29,5,0,10,0,2,24,11,0,0,0,2,4,0
2022-10-03 06:00:00,6,0,3,10,12.6,12.4,99.0,0.0,0.0,30.0,5.4,11.0,1024.9,,2,44,6,0,0,1,0,0,0,2,30,2,0,0,0,1,303,9,4,0,0,0,7,0,0,8,8,0,0,0,2,18,8,0,16,10,0,8,0,0,8,2,2,22,0,1,124,9,0,108,20,1,48,2,2,78,31,1,1,0,0,15,2
2022-10-03 07:00:00,7,0,3,10,13.2,13.0,99.0,0.0,0.0,0.0,0.0,14.8,1025.1,,6,174,18,2,4,3,5,4,1,8,83,8,1,4,4,12,524,10,10,4,1,1,30,1,2,28,14,0,6,1,4,80,14,3,29,26,2,80,0,2,58,2,9,158,2,2,254,7,6,413,18,5,213,2,19,371,54,3,4,3,2,84,0
2022-10-03 08:00:00,8,0,3,10,16.4,14.1,86.0,0.0,0.0,90.0,9.4,16.7,1025.1,,13,185,24,2,6,7,11,6,2,18,124,12,0,3,7,13,569,8,14,7,2,1,32,0,3,62,16,0,11,0,8,130,28,4,70,50,0,144,0,8,76,10,17,179,0,24,299,4,8,536,22,12,370,4,59,572,58,8,16,3,6,155,3
2022-10-03 09:00:00,9,0,3,10,18.9,14.0,73.0,0.0,0.0,90.0,9.4,18.0,1025.0,,14,130,28,0,12,8,14,13,3,12,72,8,4,10,10,8,564,11,6,9,3,4,68,1,2,24,12,2,28,2,4,100,16,2,86,41,1,90,0,2,36,14,6,104,2,6,232,8,3,372,21,4,217,0,26,381,64,4,18,8,2,96,2
2022-10-03 10:00:00,10,0,3,10,20.6,13.1,62.0,0.0,0.0,90.0,11.2,22.2,1024.7,,4,116,32,1,4,2,22,18,4,3,50,3,0,8,6,6,382,12,4,7,4,0,33,0,0,4,2,2,12,3,3,52,18,1,54,24,1,49,1,2,29,12,5,75,2,7,280,2,8,320,17,3,87,2,18,320,70,3,34,10,2,71,3
2022-10-03 11:00:00,11,0,3,10,21.6,13.0,58.0,0.0,0.0,80.0,9.4,22.2,1024.2,,7,125,36,2,14,14,26,27,6,4,44,6,0,18,12,6,381,8,4,14,7,2,100,2,5,52,12,6,31,3,3,66,11,1,51,20,0,69,0,3,34,12,1,95,0,8,193,4,4,376,16,3,62,2,23,344,76,4,46,14,2,94,2
